index,Unnamed: 0,company_id,mean_share_outstanding,mean_eps,mean_pe_ratio,mean_price_to_sales,mean_ebitda,mean_return_on_assets,mean_return_on_equity,mean_return_on_capital_employed,mean_interest_coverage,one_week,three_month,one_month,six_month,one_year,three_year,cluster,price
0,0,0,1920000000.0,212.47909090909087,53.52181818181818,3.1163636363636367,931453636363.6364,0.0136636363636363,0.0197272727272727,0.0232363636363636,6.880909090909092,0.0069999999999999,-0.0271,0.0001409999999999,-0.086,-0.1031,-0.4481,1,7125
1,1,1,17149999999.999998,9.83,133.4181818181818,9.475454545454545,332488181818.1818,0.0229454545454545,0.0301999999999999,0.0335090909090909,16.742727272727272,0.0769,-0.0128,0.0010789999999999,0.0844999999999999,0.5975,-0.5722,0,765
2,2,2,5323636363.636364,2.850909090909091,627.2209090909091,1.078181818181818,366262727272.7273,0.0003636363636363,0.0021454545454545,0.0275545454545454,1.5436363636363637,-0.0189,-0.3276,-0.001086,-0.3128,-0.25,-0.8101999999999999,2,308
3,3,3,31990000000.0,202.01545454545456,15.985454545454546,3.502727272727273,12017457272727.271,0.048190909090909,0.0817454545454545,0.0955999999999999,30.07,0.0207,-0.1151,-0.000391,0.0165,-0.2166,0.7023999999999999,1,2430
4,4,4,23143636363.636364,-12.419999999999998,1085.428181818182,68.58181818181818,33690000000.0,-0.0144636363636363,-0.110390909090909,-0.0127363636363636,0.0,-0.0060999999999999,0.1631,0.001233,-0.1961,-0.1183,-0.7264,2,328
5,5,5,14230000000.0,43.80181818181818,49.220909090909096,2.399090909090909,719140000000.0,0.0188999999999999,0.0463454545454545,0.0401636363636363,43.50545454545455,0.0197999999999999,0.0582,0.001075,0.0655,0.2311,1.2788,0,1550
6,6,6,24030000000.0,32.27454545454545,160.57272727272726,4.977272727272728,1149145454545.4546,0.0230999999999999,0.0340727272727272,0.0345,88.66545454545454,-0.0265,-0.0882,-0.000178,-0.1641,-0.1887,-0.3635,1,1645
7,7,7,22700000000.0,10.527272727272726,-12.442727272727272,2.8545454545454545,647162727272.7273,0.0081636363636363,0.0197090909090909,0.0224727272727272,2.306363636363636,0.031,-0.1014,0.000556,-0.0828,-0.0362,-0.3415999999999999,2,132
8,8,8,40480000000.0,168.03909090909087,38.400000000000006,3.479090909090909,12146181818181.818,0.0171363636363636,0.0374181818181818,0.0327090909090908,15.88363636363636,-0.0134,-0.0868,-0.000264,-0.1845,0.0375999999999999,-0.1401,1,5575
9,9,9,19650000000.0,6.670000000000001,29.66,4.267272727272727,456293636363.6364,0.0058727272727272,0.0125727272727272,0.020890909090909,1.089090909090909,0.006,-0.0401999999999999,0.000121,-0.1211,0.0987,-0.3477,2,168
10,10,10,96383636363.63635,148.50363636363636,98.74727272727272,42.54454545454546,12893646363636.363,0.0078181818181818,0.0474636363636363,0.0097636363636363,0.0,0.0294,0.0784,0.001,0.0635,0.1773999999999999,0.3652,0,9625
11,11,11,80102727272.72728,-12.125454545454549,-15.81909090909091,12.841818181818182,138830909090.9091,-0.0110727272727272,-0.0779909090909091,-0.0130363636363636,0.0,0.0,-0.0674,0.000247,-0.2589,-0.2523,-0.8092,2,84
12,12,12,18650000000.0,219.1918181818182,36.09818181818181,9.409090909090908,5621633636363.637,0.0042545454545454,0.0313636363636363,0.0052272727272727,0.0,0.0513999999999999,0.0817,0.001084,0.2430999999999999,0.2894,0.7375,0,5650
13,13,13,146430909090.9091,77.42636363636365,61.960000000000015,16.24727272727273,15660743636363.637,0.0067181818181818,0.0416363636363636,0.0087,0.0,0.0134,0.0966,0.000558,0.0509,0.281,0.325,0,5700
14,14,14,11528181818.181818,61.52090909090909,25.269090909090917,2.5209090909090914,942776363636.3636,0.0018181818181818,0.030390909090909,0.0023363636363636,0.0,0.0558,0.06,0.000861,0.0115,0.0643,-0.2594,0,1330
15,15,15,9770000000.0,69.15545454545455,47.21727272727273,5.569090909090909,1107450909090.9092,0.0034272727272727,0.0147545454545454,0.0048545454545454,0.0,0.0467999999999999,0.043,0.0004679999999999,-0.0732,0.1457,-0.1128,0,2920
16,16,16,9650000000.0,0.6036363636363636,-5.274545454545453,18.36272727272727,44251818181.81818,0.0010090909090909,0.0012363636363636,0.0067363636363636,1.210909090909091,0.0292,-0.0843999999999999,0.000444,-0.2079,0.1101999999999999,-0.2419,2,141
17,17,17,10272727272.727272,51.08272727272727,26.781818181818185,4.063636363636364,672060909090.909,0.0031545454545454,0.0387545454545454,0.0039727272727272,0.0,0.0085,0.0260999999999999,0.000489,-0.0042,-0.1161,-0.2848,0,1185
18,18,18,15020000000.0,25.190909090909088,28.949090909090906,6.314545454545454,507205454545.4545,0.0037636363636363,0.0346818181818181,0.0047272727272727,0.0,0.0078,0.04,0.000569,0.0,-0.078,-0.0909,0,650
19,19,19,94524545454.54546,0.1527272727272727,-459.2354545454545,34.815454545454536,81118181818.18182,0.0005727272727272,0.0011727272727272,0.0044,0.8409090909090909,0.0,0.0,0.0,0.0,0.0204,0.0417,2,50
20,20,20,55153636363.63636,185.08545454545447,40.61818181818182,12.340909090909092,14466893636363.637,0.0054181818181817,0.0464272727272727,0.0074818181818181,0.0,0.0492,0.0667,0.001228,0.2367,0.3801,0.9542,0,6375
21,21,21,16579999999.999998,16.768181818181816,24.808181818181826,1.5218181818181815,1184631818181.818,0.0079727272727272,0.0197272727272727,0.027190909090909,4.53090909090909,-0.0296,-0.0709,7.7e-05,-0.2842,-0.015,-0.1208,1,262
22,22,22,25130000000.0,50.80090909090909,22.884545454545457,5.800909090909091,1872252727272.7275,0.0041090909090909,0.0288090909090909,0.0052454545454545,0.0,0.0088,0.0177,0.000423,0.0849,0.5265,0.7079000000000001,0,1725
23,23,23,34697272727.27273,13.996363636363638,102.25636363636362,12.89,744320909090.909,0.0021,0.0130363636363636,0.0026999999999999,0.0,0.0492,0.0323,0.0004349999999999,-0.0302999999999999,-0.0542,-0.6265,2,960
